Library_Serial_Number,Library_Name,District_Code,District_Name,Address,Phone_Number,Website_URL,Operating_Hours,Regular_Closed_Days,Library_Type_Code,Library_Type_Name,Latitude,Longitude
1971,Gangdong District cheonho Library,10,Gangdong-gu,Seoul gangdonggu seonganro 31magil 1(cheonho3dong je2gongyeongjuchajang jisang 2F),02-488-7223,http://www.gdlibrary.or.kr,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.5405232247297,127.134081513483
96,Gangdong District haegong Library,10,Gangdong-gu,Seoul gangdonggu olrimpikro 702,02-478-9656,http://www.gdlibrary.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.5439476727563,127.125538378702
78,Myeongseonggyohoe Library,10,Gangdong-gu,Seoul gangdonggu sangamro51gil 8,02-440-9140,http://www.mslib.or.kr,"Weekdays : 10:00~18:00, Weekends : 10:00~17:30",Every Monday,1,Public Library,37.5469077327424,127.146275226611
24,Seoulgyoyukcheonggangdong Library,10,Gangdong-gu,Seoul gangdonggu yangjaedaero116gil 57,02-2225-9800~3,http://gdlib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","1,3week Thursday and Legal Holidays",1,Public Library,37.53815107,127.1434874
25,Seoulgyoyukcheonggodeokpyeongsaenghakseupgwan,10,Gangdong-gu,Seoul gangdonggu godeokro 295 (godeok2dong 296),02-6902-2600,http://gdllc.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","2,4week Monday and Legal Holidays",1,Public Library,37.5561204084687,127.158039363963
170,[pegwan] songjung Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu dobongro20nagil 6,02-944-3160,https://www.gblib.or.kr/songjung/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 1st/3rd Monday and Legal Holidays,1,Public Library,37.6183131249716,127.029937564663
32,Gangbuk Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu ohyeonro 145,02-944-3100,https://www.gblib.or.kr/gangbuk/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 2nd/4th Monday and Legal Holidays,1,Public Library,37.6251151,127.0360795
33,Gangbukcheongsonyeon Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu samyangro54gil 68,02-944-3140,https://www.gblib.or.kr/youth/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 2nd/4th Monday and Legal Holidays,1,Public Library,37.62307414,127.0215511
1378,Mia Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu solmaero49gil 14,02-944-3180,https://www.gblib.or.kr/mia/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 2nd/4th Monday and Legal Holidays,1,Public Library,37.62709228,127.0269757
2134,Samgaksan Children Library,21,Gangbuk-gu,Seoul gangbukgu samyangro19gil 34,02-944-3190,https://www.gblib.or.kr/kids/,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",매월 2nd/4th Monday and Legal Holidays,1,Public Library,37.6151482159574,127.020742108822
34,Solsaem Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu solsaemro 177,02-944-3150,https://www.gblib.or.kr/solsem/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 1st/3rd Monday and Legal Holidays,1,Public Library,37.6204776505226,127.012402476037
176,Suyu Culture Information Library,21,Gangbuk-gu,Seoul gangbukgu samyangro 299,02-944-3170,https://www.gblib.or.kr/suyu/,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00",매월 1st/3rd Monday and Legal Holidays,1,Public Library,37.63005160395,127.017559390621
1838,Gayang Library,1,Gangseo-gu,Seoul gangseogu yangcheonro61gil101(gayangdong 1493),02-3665-8797,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.55994851,126.8655346
1398,Gangseoyeongeo Library,1,Gangseo-gu,Seoul gangseogu gomdalraero57gagil 26,02-2061-2270,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.53468572,126.8608018
1377,Gomdalrae Library,1,Gangseo-gu,"Seoul gangseogu gangseoro5gil 50 (gomdalrae Culture bokjisenteo 5, 6F)",02-2065-3785,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.52905938,126.8488976
60,Gilkkoch Children Library,1,Gangseo-gu,Seoul gangseogu geumnanghwaro24gil 5,02-2663-4764,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.57871971,126.8136582
94,Kkumkkuneun Children Library,1,Gangseo-gu,Seoul gangseogu gonghangdaero 615,02-3663-4025,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.54733669,126.8733189
1395,Deungbich Library,1,Gangseo-gu,Seoul gangseogu gangseoro62gil 48,02-3664-6990,http://lib.gangseo.seoul.kr/,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.56245409,126.8423739
16,Seoulgyoyukcheonggangseo Library,1,Gangseo-gu,Seoul gangseogu deungchonro51nagil 29,02-3219-7000,http://gslib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","1,3week Friday and Legal Holidays",1,Public Library,37.5479003,126.8599262
1394,Ujangsansupsok Library,1,Gangseo-gu,Seoul gangseogu uhyeonro 34,02-2696-6689,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.54828757,126.8418355
93,Pureundeulcheongsonyeon Library,1,Gangseo-gu,Seoul gangseogu gangseoro45dagil 71,02-2691-1630,http://lib.gangseo.seoul.kr,"Weekdays and Saturday : 09:00~22:00, Sunday : 09:00~18:00",Every Monday and Legal Holidays,1,Public Library,37.54467538,126.835182
43,Gwanakjungang Library,5,Gwanak-gu,Seoul gwanakgu sinrimro 3gil 35,02-828-5700,http://lib.gwanak.go.kr,"Weekdays : 07:00~23:00, Weekends : 07:00~22:00",Every Monday and Legal Holidays,1,Public Library,37.46759816,126.9448714
44,Geulbich Information Library,5,Gwanak-gu,Seoul gwanakgu gwanakro 30gil 23,02-878-7460,http://lib.gwanak.go.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Monday and Legal Holidays,1,Public Library,37.4862426,126.9596701
45,Seonghyeondong Small Library,5,Gwanak-gu,Seoul gwanakgu gwanakro37gil 56 dongaapateu sanggaBdong 5F,02-877-7182-3,http://lib.gwanak.go.kr,"Weekdays : 09:00~19:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.48731057,126.956182
1068,Euncheondong Small Library,5,Gwanak-gu,Seoul gwanakgu bongcheonro33nagil 30,02-877-1162-4,http://lib.gwanak.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.48530503,126.9424097
1069,Jowon Library,5,Gwanak-gu,Seoul gwanakgu jowonro12gil 25,02-851-5571,http://lib.gwanak.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.48256322,126.9077952
2842,Gwangjin Children yeongeo Library,24,Gwangjin-gu,Seoul gwangjingu cheonhodaero136gil 55 (guuidong),02-2049-2950,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~18:00, Weekends : 09:00~18:00",매월1st/3rd Tuesday and 법정/임시Holidays,1,Public Library,37.5471614,127.0899289
27,Gwangjin Information Library,24,Gwangjin-gu,Seoul gwangjingu achasanro78gil 90(gwangjangdong),02-3437-5092~5 ?,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~22:00, Weekends : 09:00~18:00",매월2nd/4thTuesday and 법정/임시Holidays,1,Public Library,37.5510729137918,127.110615495296
1397,Guuije3dong Library,24,Gwangjin-gu,Seoul gwangjingu gangbyeonyeokro 17(guuidong),02-454-6294,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~18:00",매월2nd/4thMonday and 법정/임시Holidays,1,Public Library,37.53799119,127.0919832
2755,Gunjadong Library,24,Gwangjin-gu,Seoul gwangjingu myeonmokro 13 gunjadongbokhapcheongsa 1F,02-2049-2960,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~18:00",매월1st/3rdTuesday and 법정/임시Holidays,1,Public Library,37.5554852103262,127.075349383615
2759,Achasansupsok Library,24,Gwangjin-gu,Seoul gwangjingu yeonghwasaro 139,,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~18:00, Weekends : 09:00~18:00","Every Tuesday, Legal Holidays, 임시 Holidays",1,Public Library,37.5524739995365,127.100815788808
97,Jayangje4dong Library,24,Gwangjin-gu,Seoul gwangjingu ttukseomro26gil 58 (jayangdong),02-465-0737-8,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~18:00",매월1st/3rdTuesday and 법정/임시Holidays,1,Public Library,37.5341003,127.0662596
2177,Jayanghangang Library,24,Gwangjin-gu,Seoul gwangjingu ttukseomro52gil 66(jayangdong),02-456-0048,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~18:00",매월2nd/4thMonday and 법정/임시Holidays,1,Public Library,37.5292155199266,127.077667985801
99,Junggok Culture cheyuksenteo Library,24,Gwangjin-gu,Seoul gwangjingu neungdongro 433,02-3408-4960,http://www.gwangjinlib.seoul.kr/,"Weekdays : 09:00~22:00, Weekends : 09:00~18:00",매월1st/3rdMonday and 법정/임시Holidays,1,Public Library,37.5677792027828,127.08480243017
883,Gaebong Library,25,Guro-gu,Seoul gurogu gaebongro16gil 30-11,02-2689-1695,http://lib.guro.go.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Tuesday and Legal Holidays,1,Public Library,37.49008228,126.8584998
2816,Gocheokyeolrin Library,25,Guro-gu,Seoul gurogu gyeonginro43gil 49,02-2615-2006,http://lib.guro.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4990691887707,126.857532971967
880,Guro District onnuri Library,25,Guro-gu,"Seoul gurogu gurojungangro27nagil 9, 4F (gurochodeunghakgyo onnurigwan)",02-858-9080,http://lib.guro.go.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Tuesday and Legal Holidays,1,Public Library,37.49751199,126.8854812
2135,Gurogijeokui Library,25,Guro-gu,Seoul gurogu gurojungangro40gil 24(sindorimdong),02-2632-8878,http://lib.guro.go.kr,"Weekdays : 10:00~20:00, Weekends : 10:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.50673545,126.877376
41,Gurokkumnamu Library,25,Guro-gu,"Seoul gurogu gurodongro26gil 54, 2F (gurogusiseolgwanrigongdan)",02-830-1623,http://lib.guro.go.kr,"Weekdays : 10:00~19:00, Weekends : 10:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.50622215,126.8920012
2876,Guromirae Library,25,Guro-gu,Seoul gurogu saemalro 111,02-854-7466,http://lib.guro.go.kr,"Weekdays : 09:00 ~ 20:00, Weekends : 09:00 ~ 17:00",Every Tuesday and Legal Holidays,1,Public Library,37.50705341,126.89141811
2136,Gungdong Children Library,25,Guro-gu,Seoul gurogu oriro 1352,02-2060-8229,http://lib.guro.go.kr,"Weekdays : 10:00~19:00, Weekends : 10:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.50531416,126.8928724
884,Geulmaruhanok Children Library,25,Guro-gu,Seoul gurogu gocheokro27bagil 7,02-2615-8200,http://lib.guro.go.kr,"Weekdays : 10:00~19:00, Weekends : 10:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.50692111,126.8456405
61,Kkummaeul Library,25,Guro-gu,Seoul gurogu dijiteolro27dagil 65,02-830-5807,http://lib.guro.go.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Monday and Legal Holidays,1,Public Library,37.48714477,126.8901557
17,Seoulgyoyukcheonggocheok Library,25,Guro-gu,Seoul gurogu gocheokro45gil 31,02-2615-0524,http://gclib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","2,4week Wednesday and Legal Holidays",1,Public Library,37.50534626,126.8530515
18,Seoulgyoyukcheongguro Library,25,Guro-gu,Seoul gurogu gongwonro 15,02-6958-2800,http://grlib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","1,3week Wednesday and Legal Holidays",1,Public Library,37.49867236,126.8911162
881,Haneul Library,25,Guro-gu,Seoul gurogu gurodongro13gil 68,02-864-9585(6),http://lib.guro.go.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Tuesday and Legal Holidays,1,Public Library,37.50531416,126.8928724
2811,Hangdongpureun Library,25,Guro-gu,Seoul gurogu yeondongro 290-46 (hangdong),02-2613-2022,http://lib.guro.go.kr,"Weekdays : 09:00~21:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4847517655523,126.82471761839
62,Geumcheon District gasan Library,6,Geumcheon-gu,Seoul geumcheongu gasanro5gil 43,02-865-6817~9,http://geumcheonlib.seoul.kr,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00","매월 두번째, 네번째 Monday and Legal Holidays",1,Public Library,37.47349155,126.8921299
101,Geumcheon District geumnarae Library,6,Geumcheon-gu,Seoul geumcheongu siheungdaero73gil 70,02-2627-2991,http://geumcheonlib.seoul.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",매월 마지막week Sunday and Legal Holidays,1,Public Library,37.45690514,126.8953686
42,Geumcheon District doksan Library,6,Geumcheon-gu,Seoul geumcheongu doksanro54gil 114,02-863-9544,http://geumcheonlib.seoul.kr,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00","매월 첫번째,세번째 Monday and Legal Holidays",1,Public Library,37.4675797,126.908105
1379,Geumcheon District siheung Library,6,Geumcheon-gu,Seoul geumcheongu geumharo 764(siheungdong) geumcheonjonghapbokjitaun(siheung2dong Community Center),02-809-8242,http://geumcheonlib.seoul.kr,"Weekdays : 07:00~22:00, Weekends : 07:00~22:00","매월 첫번째,세번째 Friday and Legal Holidays",1,Public Library,37.4496304162832,126.91461133809
36,Nowon Children Library,22,Nowon-gu,Seoul nowongu hangeulbiseokro 346,02-933-7145,http://www.nowonlib.kr,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00","매달 2nd, 4th Monday and Legal Holidays",1,Public Library,37.65795038,127.07638
37,Nowonjungang Library,22,Nowon-gu,Seoul nowongu nowonro34gil 43,02-950-0050,http://www.nowonlib.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","매월 1st,3rd Monday and Legal Holidays",1,Public Library,37.66109973,127.0650094
2877,Nowonhyumeonraibeureori,22,Nowon-gu,Seoul nowongu nowonro34gil 43 jiha1F,02-950-0041,https://www.nowonlib.kr/human,화~Saturday 09:00~17:00,Every Sunday,1,Public Library,37.66109973,127.0650094
2132,Bulam Library,22,Nowon-gu,Seoul nowongu junggyero 106,02-935-0721,http://www.nowonlib.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","매월 1st,3rd Monday and Legal Holidays",1,Public Library,37.64528936,127.0825433
877,Sanggye Library,22,Nowon-gu,Seoul nowongu dongilro243gil 57,02-3391-7882,http://www.nowonlib.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","매달 2nd, 4th Monday and Legal Holidays",1,Public Library,37.67852767,127.0519406
11,Seoulgyoyukcheongnowonpyeongsaenghakseupgwan,22,Nowon-gu,Seoul nowongu dongilro204gil 13,02-979-1741,http://nwllc.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","2,4week Monday and Legal Holidays",1,Public Library,37.63953995,127.067837
79,Wolgye Library,22,Nowon-gu,Seoul nowongu wolgyero 319,02-991-0871,http://www.nowonlib.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00 *리모델링 중(2023.05~2024.06)","매월 1st, 3rd Monday and Legal Holidays",1,Public Library,37.62863532,127.0561218
2137,Wolgye Children Library,22,Nowon-gu,Seoul wolgyero 42gil 9 wolgye Culture bokjisenteo,070-4238-5148,http://www.nowonlib.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","매달 2nd, 4th Monday and Legal Holidays",1,Public Library,37.62426736,127.0507933
2770,Hagye Children Library,22,Nowon-gu,Seoul nowongu gongreungro62gil 18(hagyeeoulrimsenteo),02-979-7644,http://www.nowonlib.kr/,"Weekdays : 09:00~18:00, 토 : 09:00~17:00","Every Sunday, Legal Holidays",1,Public Library,37.6361041371415,127.072424081321
1070,Hwarang Library,22,Nowon-gu,Seoul nowongu nowonro1nagil 10,02-973-1318,http://www.gycenter.or.kr/,"Weekdays : 09:00~22:00, 토 : 09:00~18:00, 일 : 09:00~17:00","Every Monday, Legal Holidays",1,Public Library,37.62151605,127.0830474
2765,Gimgeuntaeginyeom Library,23,Dobong-gu,Seoul dobonggu dobongsangil 14,02-956-3100,"http://www.unilib.dobong.kr/, www.geuntae.co.kr ","Weekdays : 09:00~20:00, Weekends : 09:00~17:00",EveryMondayandLegal Holidays,1,Public Library,37.6876674374375,127.044019937677
2878,Dobonggu Librarygihoek Information hwatim,23,Dobong-gu,Seoul dobonggu nohaero 63gil 43 dobongguhaengjeongjiwonsenteo 3F jaedanbeopin dobong Culture jaedan,02-900-1835,https://www.dbfac.or.kr/,자치구도서관 공지사항 계정용-검색 제외,자치구도서관 공지사항 계정용-검색 제외,1,Public Library,37.65270701,127.0439373
1840,Dobonggijeokui Library,23,Dobong-gu,Seoul dobonggu madeulro 797,02-3493-7171,http://www.unilib.dobong.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",EveryTuesdayandLegal Holidays,1,Public Library,37.68080449,127.0501336
35,Dobong Culture Information Library,23,Dobong-gu,Seoul dobonggu deokreungro 315,02-900-1835,http://www.unilib.dobong.kr/,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",EveryTuesdayandLegal Holidays,1,Public Library,37.64477544,127.0438644
95,Dobongainara Library,23,Dobong-gu,Seoul dobonggu nohaero 69gil 151,02-995-4171~2,http://www.unilib.dobong.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",EveryTuesdayandLegal Holidays,1,Public Library,37.65904725,127.0495075
1839,Dulri Library,23,Dobong-gu,Seoul dobonggu sirubongro1gil 6,02-990-2200,http://www.unilib.dobong.kr/,"Weekdays : 10:00~18:00, Weekends : 10:00~18:00",EveryMondayandLegal Holidays,1,Public Library,37.65243153,127.0276397
10,Seoulgyoyukcheongdobong Library,23,Dobong-gu,Seoul dobonggu samyangro 556,02-6714-7400,http://dblib.sen.go.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","2,4week Wednesday and Legal Holidays",1,Public Library,37.65253218,127.0127628
2174,Ssangmunchaeum Library,23,Dobong-gu,Seoul dobonggu uicheonro 340,02-998-0910,http://www.unilib.dobong.kr/,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",EveryMondayandLegal Holidays,1,Public Library,37.6441856,127.0294746
2809,Wondangmaeulhanok Library,23,Dobong-gu,Seoul dobonggu haedeungro32gagil 17 (banghakdong),02-906-2022,http://www.unilib.dobong.kr/,"Weekdays : 09:00~20:00(동절기 11/1~2/28, 09:00~18:00), Weekends : 09:00~17:00",EveryTuesdayandLegal Holidays,1,Public Library,37.6602917907669,127.021798339761
103,Hakmaeul Library,23,Dobong-gu,Seoul dobonggu sirubongro 128,02-955-0655,http://www.unilib.dobong.kr/,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",EveryMondayandLegal Holidays,1,Public Library,37.6621577,127.0278303
1389,Dongdaemungudapsipri Library,18,Dongdaemun-gu,Seoul dongdaemungu seoul City daero4gil 75,02-982-1959,http://www.l4d.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~18:00",Every Friday and Legal Holidays(Sunday 제외),1,Public Library,37.57319319,127.0503606
58,Dongdaemungu Information hwa Library,18,Dongdaemun-gu,Seoul dongdaemungu hoegiro10gil 60,02-960-1959,http://www.l4d.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~18:00",Every Monday and Legal Holidays(Sunday 제외),1,Public Library,37.58996904,127.0472892
2700,Dongdaemunchaekmadang Library,18,Dongdaemun-gu,Seoul dongdaemungu cheonhodaero 145,02-2127-4116,http://www.l4d.or.kr,Weekdays : 09:00~18:00,Legal Holidays,1,Public Library,37.5743917161622,127.039896580148
2474,Baebongsan supsok Library,18,Dongdaemun-gu,Seoul dongdaemungu jeonnongro16gil 97,02-2212-8502,http://www.l4d.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~18:00",Every Monday and Legal Holidays(Sunday 제외),1,Public Library,37.5784361,127.0605702
